question_id,question,category,difficulty,success,execution_time,sql_generated,error
1,What is the total spend across all campaigns?,basic_aggregation,easy,True,7.493679761886597,SELECT SUM(Spend) AS Total_Spend FROM linkedin_campaigns;,
2,Which job function has the highest conversion rate?,demographic_analysis,medium,True,7.308847427368164,"SELECT Job_Function, AVG(Conversion_Rate) as Average_Conversion_Rate
FROM linkedin_campaigns
GROUP BY Job_Function
ORDER BY Average_Conversion_Rate DESC
LIMIT 1;",
3,Show average CPC by seniority level,dimensional_analysis,easy,True,9.154722452163696,"SELECT Seniority, AVG(CPC) as Average_CPC
FROM linkedin_campaigns
GROUP BY Seniority",
4,Compare performance across industries by ROAS,comparative_analysis,medium,True,7.396304130554199,"SELECT Industry, AVG(ROAS) as Average_ROAS
FROM linkedin_campaigns
GROUP BY Industry;",
5,Which campaign group generates the most leads?,performance_ranking,easy,True,5.424655914306641,"SELECT Campaign_Group, SUM(Leads) as Total_Leads
FROM linkedin_campaigns
GROUP BY Campaign_Group
ORDER BY Total_Leads DESC
LIMIT 1;",
6,What is the lead form completion rate by ad format?,efficiency_metrics,medium,True,6.5545494556427,"SELECT Ad_Format, AVG(Lead_Form_Completion_Rate) as Average_Lead_Form_Completion_Rate
FROM linkedin_campaigns
GROUP BY Ad_Format",
7,Show top 5 campaigns by total revenue,performance_ranking,easy,True,10.138046503067017,"SELECT Campaign_Name, SUM(Revenue) as Total_Revenue
FROM linkedin_campaigns
GROUP BY Campaign_Name
ORDER BY Total_Revenue DESC
LIMIT 5",
8,Which company size segment has the best ROAS?,demographic_analysis,medium,True,6.962779760360718,"SELECT Company_Size, AVG(ROAS) as Average_ROAS
FROM linkedin_campaigns
GROUP BY Company_Size
ORDER BY Average_ROAS DESC
LIMIT 1;",
9,What is the cost per lead by job function?,efficiency_metrics,medium,False,4.094380617141724,,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4 in organization org-voYyxsXqwkJ7iAkDEN0DXNxP on tokens per min (TPM): Limit 10000, Used 9882, Requested 131. Please try again in 78ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}"
10,Show daily leads trend for the last 30 days,time_series,medium,True,6.458241701126099,"SELECT Date, SUM(Leads) as Daily_Leads
FROM linkedin_campaigns
WHERE CAST(Date AS DATE) >= DATE_TRUNC('DAY', CURRENT_DATE - INTERVAL '30' DAY)
GROUP BY Date
ORDER BY Date ASC",
11,Compare Sponsored Content vs Video ads by CTR,comparative_analysis,medium,True,9.042404651641846,"SELECT Ad_Format, AVG(CTR) as Average_CTR
FROM linkedin_campaigns
WHERE Ad_Format IN ('Sponsored_Content', 'Video')
GROUP BY Ad_Format",
12,Which seniority level has the highest engagement rate?,demographic_analysis,medium,True,5.824313402175903,"SELECT Seniority, AVG(Engagement_Rate) as Average_Engagement_Rate
FROM linkedin_campaigns
GROUP BY Seniority
ORDER BY Average_Engagement_Rate DESC
LIMIT 1;",
